# 10月ダイエット：たき講師

Notion URL: 
同期日時: 2026-01-21T21:13:25.000469

---

# 📍事例１

## 【相談・悩み】

- 体調不良からのスタートなので、ダイエットアカウントとは違うジャンル

- スタート地点をどこから始めるべきか（悪い状態から vs 良くなってきた状態から）

- 体調が良くなる変化は目に見えにくい（数字として出にくい）

- 妊娠中は特に悪くはなかったが、産後急に体調不良が発生

- 体調不良の原因が不明で病院でも病名がつかなかった

- 1年間の苦労の後、やっと活動できるようになった

- 自分磨きの段階を経て、新しい出会いや再婚に向けたフェーズまで想定している

- ゴール設定が曖昧（娘と元気に遊べる、がゴール）

## ✔︎FB

- プロセス系ならスタート地点は「ドン底の過去」を見せることが重要

- スタートは一番ドン底の部分（暗い過去）を見せて、「この話題じゃ立ち直れない」という状態から「こんなに明るくなれました」というビフォーアフターの差を最大限に見せる

- 今回は体調が良くなるというゴールで、見えにくい問題がある

- 数字として出にくいため、表現しにくい部分がある

- ゴールが弱い点を指摘（娘と元気に遊べる、がゴールとして弱い）

- ゴール設定を明確にする必要がある

- プロセス系の体調改善なら、特定の日時や期間を目標にする（例：娘さんが小学校に上がるまで、入学式までに健康になる等）

- 体調不良からどう回復したのか（運動、サプリ、栄養面）を深掘りして見せる

- 自分がどうやって体調不良と向き合い、何をしたらこう解決したかを見せる

- ダイエットだとトレーニング方法や食事方法を見せつつ情報を提供しつつ、定期的に過去の辛い部分のエピソードを入れてプロセス感を出す

# 📍事例２

## 【相談・悩み】

- 社会人になってから激太りしてしまった

- アメリカにいる彼氏とほぼ同じ体重になってしまった

- 一つ目の台本を作成中

- ゴールは15キロ痩せて100日後までに、遠距離中のアメリカにいる彼に会いに行く

- その時に大好きな服を着て、一番いい自分で会いたい

- ロールモデルをゆうさんとしている

- 一度目の投稿で冒頭（最初の投稿）をどうしたらいいか悩んでいる

## ✔︎ FB

- もう少しどん底感を出した方がいい

- 冒頭は変えたい

- ディアッティング時の体型を聞く（デート時の体型が何キロだったか）

- 彼氏からの「衝撃的な言葉」や傷ついた経験があるか

- なぜ仕事で体重が増えたのか深掘りが必要、現状は少しありきたり

- アメリカの彼の影響でジャンクフードが好きになったとか、アメリカの食事をしすぎて太った、というエピソードがあればいい

- アメリカの彼がいるというのは珍しく、エピソードになる

- 昔から太っていたのか、社会人になってからなのか（中学時代は55キロ、学生時代は50キロ台前半、社会人で太った）

- お腹やお尻などインパクトがある部分を出していく

- そのため、より深くエピソードを掘り下げて、どこで太ってしまったのか、どんな体験をしたのか、ディアッティング時はどうだったのかを深掘りする必要がある

- ロールモデルはあちゃんさんが良い、もしくはちっちさん（体の一部にインパクトがあるタイプ）

# 📍事例３

## 【相談・悩み】

- これから初期設定に入る段階

- まだ何も分からない状態

- 初期設計時に何を聞いておいた方がいいか

## ✔︎ FB

- 「おうちの見せ方」や「ここまできれいになりました」という見せ方に憧れる人が来る

- 大きな理由がなくても「痩せたいです」という人が来る可能性がある

- その場合、本当に辛い過去、痩せたい理由を細かく聞く必要がある

- なぜ痩せたいのか、なぜその体系だと辛いのか、トラウマレベルに何かあったか

- 健康面の話も聞く（疲れやすい、高血圧、脂質異常症など）

- 人生の中で体重が最軽量だった時期も聞いておくと、より一貫性のある理由付けに使いやすい

- 「子どもからの一言で」「旦那からの一言で」系は最近増えているので、それだけだと弱い

- その一言でどれくらい立ち直れなくなったのか、どれだけ辛い部分があったかを見せることで、エピソードが強くなる

- やせたい理由はかなり深掘りして聞く必要がある

- 身長、体重、年齢、できるなら部屋の様子も見せてもらう

- ダイエット系の場合、体系の写真も送ってもらって確認する（生徒さんがお腹を痩せたいと思っていても、実はお尻の方がインパクトがある等）

- ヨガの先生の場合、マネタイズのゴールを聞く（ヨガクラスの集客なのか、ヨガして運動方法を教えたいのか）

- マネタイズの目的が最初に明確だと良い

- 憧れやけん異性で伸ばすなら体型を絞ってもらう必要があるかもしれない

