# YouTube動画 文字起こし

**動画タイトル**: いつもとちょっと違うお話をします
**動画ID**: lgtOmgk3DtQ
**動画URL**: https://www.youtube.com/watch?v=lgtOmgk3DtQ
**元ファイル**: video_414a12c08a57.mp4
**抽出日時**: 2026-01-18 10:16:09

---

[00:00] こんにちは。ま衣です。普段はご飯屋さん
[00:02] や旅行をメインに発信しているんです
[00:05] けれども、今回はちょっとだけ違う話をさ
[00:07] せてください。先日こんなDMをいただき
[00:10] ました。ま衣さんのインスタを見てずっと
[00:13] 踏みきれなかった海外に踏み出す決心が
[00:15] つき、今はま衣さんと同じメルボルン
[00:17] で掘りしています。大変なこともあるけど
[00:20] 、毎日が刺激的で楽しいです。本当に
[00:22] ありがとうございます。これをいただいて
[00:24] 本当に嬉しかったです。でも最初から私が
[00:26] いろんな挑戦をして皆さんを勇気づける
[00:29] みたいな存在だったかと言うと全然そんな
[00:31] ことはなかったです。元々私は渋谷で美容
[00:34] 師として働いていました。仕事は大好き
[00:36] だったんですけど、新卒1年目の頃は朝7
[00:39] 時半から深夜12時まで働いていて、2
[00:42] ヶ月で8km以上痩せたこともありました
[00:44] し、今の私からだったらちょっと想像つか
[00:46] ないかもしれないんですけど、毎日のよう
[00:48] に駅から泣いて歩いて帰っていた時期も
[00:50] ありました。おまけに私は昔から人に弱み
[00:53] を見せるっていうことがすごく苦手で実家
[00:56] に帰った時に両親に仕事どうって聞かれる
[00:58] と勝手に涙が出てきちゃってでも絶対に
[01:01] 心配させたくなかったので顔
[01:03] ぐっちゃぐちゃにして大号泣しながら
[01:06] めっちゃ楽しいよっていう風に答えてまし
[01:08] た。今考えると両親はすごく心配だったん
[01:11] だろうなっていう風に思います。でも
[01:13] そんな私にも将来は海外で生活したいって
[01:16] いう夢がありました。きっかけは中学校の
[01:19] 時のニュージーランドのホームテで当時は
[01:21] 全く英語も話せずすごく辛くて苦しくて
[01:25] 大変だったはずなのに自分とは違う
[01:27] 当たり前や価値観に触れるのがすごく
[01:30] 楽しくて刺激的でした。頭の片隅にはその
[01:33] 夢はあったものの仕事に没頭していたら
[01:36] もう気づけばもう25歳になっていました
[01:38] 。父がよく言ってた挑戦したことへの後悔
[01:41] は年々薄れていくけど、挑戦しなかった
[01:44] ことの後悔は年々大きくなっていくんだよ
[01:46] という言葉が改めて胸に刺さって本当に
[01:49] その通りだなっていう風に感じました。夢
[01:52] はあるのに行動ができない。環境のせいに
[01:55] して何も変えられない自分がすごく嫌で
[01:58] 社会人4年目にして本気で夢であった海外
[02:01] 生活に挑戦しようっていう風に決めました
[02:04] 。でもその時にワー掘りで仕事がない日本
[02:07] 人が炊き出しに並んでいるっていう
[02:09] ネガティブなニュースで溢れ返ってたん
[02:11] です。せっかくの夢の海外生活がそんな
[02:14] ハードモードじゃ嫌じゃないですか。そこ
[02:16] でできるだけ今行動できることはしようっ
[02:18] ていう風に思って東京で行われてた
[02:21] ワーフリのイベントに参加しました。その
[02:23] イベントでも海外に挑戦したいけどでき
[02:25] ないだったりとか海外生活に漠然とした
[02:28] 不安があるっていうたくさんの人に出会い
[02:30] ました。その不安を周りの参加者さんと
[02:34] 共有する中でみんなが同じ不安を抱えて
[02:36] いることに気づきました。そして誰かの
[02:38] 最初の一歩に寄り添えるような存在になり
[02:41] たいなという風に思って私のリアルをイン
[02:43] スタで投稿しようっていう風に決めました
[02:45] 。オーストラリアに行ってからは現地で
[02:47] できた様々な国籍の友達と一緒にたくさん
[02:50] 旅行したりご飯に行ったりメロボルンでの
[02:53] 生活をインスタに発信することが私の仕事
[02:56] になっていきました。去年の
[02:57] オーストラリア生活はまさに私の夢の1つ
[03:00] が叶ったなと思う瞬間でした。日々
[03:02] フォロワーさんから感謝の声を頂いたり、
[03:04] それが今お仕事になって以前は全く想像し
[03:07] ていなかったような日々を送っています。
[03:10] そして今これを見てくださっているあなた
[03:12] に伝えたいことがあります。もしあなたに
[03:14] も叶えたい夢があるのなら、まずは何か
[03:16] 行動してみてください。私が最初に勇気を
[03:19] 出してイベントに参加したようにほんの
[03:21] 少しの小さな一歩で大丈夫です。今回の私
[03:25] の話が少しでもあなたの人生を変える
[03:27] きっかけになれたらすごく嬉しいです。と
[03:30] いうことで長々とお話ししましたが私が
[03:32] 発信を始めるまでの話でした。これからも
[03:35] 楽しく頑張りますので皆さんよろしくお
[03:37] 願いいたします。
